code,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd,macd_signal,macd_hist
000001,881155,银行,11.28,11.28,2.93,2777708,1704122.0,,,
000002,881153,房地产,3.28,3.26,1.52,2118666,1133905.0,,,
000006,881153,房地产,6.51,6.45,-2.15,222568,102432.0,,,
000007,881158,零售,9.16,9.16,-4.91,75239,24175.0,,,
000008,881269,轨交设备,2.37,2.36,-0.84,282883,116752.0,,,
000009,881281,电池,6.5,6.46,10.0,562050,266504.0,,,
000010,881116,建筑装饰,1.52,1.53,-0.66,190836,82385.0,,,
000011,881153,房地产,7.82,7.79,2.17,327880,173992.0,,,
000012,881115,建筑材料,3.9,3.89,0.77,274754,140249.0,,,
000014,881153,房地产,9.99,10.0,-0.1,127346,65834.0,,,
000016,881131,白色家电,2.55,2.54,-3.14,189861,59984.0,,,
000017,881136,服装家纺,5.99,5.99,-2.84,100749,47183.0,,,
000019,881103,农产品加工,6.04,6.02,0.66,68159,33959.0,,,
000020,881122,光学光电子,10.36,10.28,0.1,53477,26103.0,,,
000021,881124,消费电子,40.15,38.65,-9.29,1592658,691857.0,,,
000025,881165,综合,14.22,14.23,9.99,146365,52285.0,,,
000026,881136,服装家纺,16.1,15.99,0.62,104043,46445.0,,,
000027,881145,电力,6.43,6.41,0.62,275666,128767.0,,,
000028,881143,医药商业,20.77,20.69,1.11,29511,17771.0,,,
000029,881153,房地产,20.13,20.02,-3.13,66426,32456.0,,,
000030,881126,汽车零部件,4.24,4.24,0.94,122870,69948.0,,,
000031,881153,房地产,2.19,2.18,0.0,299550,131849.0,,,
000032,881116,建筑装饰,13.57,13.5,-9.29,880648,385354.0,,,
000034,881271,IT服务,25.32,25.5,-7.86,529866,187929.0,,,
000035,881181,环境治理,4.98,4.99,0.6,546552,288185.0,,,
000036,881153,房地产,4.01,3.96,-3.74,320595,125952.0,,,
000037,881145,电力,9.27,9.1,-2.91,230962,87546.0,,,
000039,881117,通用设备,8.7,8.65,0.0,449910,229595.0,,,
000042,881153,房地产,8.08,8.11,-0.25,53553,22894.0,,,
000045,881122,光学光电子,9.58,9.51,-0.63,116514,57597.0,,,
000048,881102,养殖业,18.11,17.88,-5.58,184161,83445.0,,,
000049,881281,电池,24.81,24.58,-1.89,112529,50090.0,,,
000050,881122,光学光电子,6.57,6.5,-1.83,364315,157029.0,,,
000055,881115,建筑材料,3.4,3.37,-1.76,107900,43831.0,,,
000056,881158,零售,1.9,1.91,-3.68,153197,40973.0,,,
000058,881158,零售,6.48,6.58,1.85,136710,78170.0,,,
000059,881180,石油加工贸易,4.62,4.58,0.87,216781,104504.0,,,
000060,881168,工业金属,6.29,6.28,-0.95,920535,372432.0,,,
000061,881158,零售,5.88,5.84,0.34,248600,123762.0,,,
000062,881123,其他电子,21.53,21.3,-3.58,197701,80353.0,,,
000063,881129,通信设备,34.08,33.74,-2.29,1280222,524839.0,,,
000065,881116,建筑装饰,9.28,9.26,-0.43,140442,75635.0,,,
000066,881130,计算机设备,13.89,13.7,-5.33,1439369,560453.0,,,
000068,881181,环境治理,2.76,2.76,-2.17,129750,49718.0,,,
000069,881160,旅游及酒店,1.72,1.71,1.16,625190,338993.0,,,
000070,881129,通信设备,12.72,12.64,-4.25,422878,185400.0,,,
000078,881143,医药商业,1.67,1.66,-5.39,989255,282829.0,,,
000088,881148,港口航运,4.4,4.4,1.59,329680,194857.0,,,
000089,881151,机场航运,6.64,6.64,1.96,168512,109505.0,,,
000090,881153,房地产,3.29,3.27,0.0,155500,80607.0,,,
000096,881180,石油加工贸易,7.58,7.63,0.66,63954,31250.0,,,
000099,881151,机场航运,14.15,14.04,1.7,106607,61850.0,,,
000100,881122,光学光电子,4.93,4.85,-4.26,7206880,2749452.0,,,
000151,881159,贸易,9.46,9.4,0.21,71276,35720.0,,,
000153,881140,化学制药,5.42,5.4,-0.55,74543,32301.0,,,
000155,881145,电力,12.63,12.51,-2.93,626863,272100.0,,,
000156,881164,文化传媒,6.78,6.75,1.03,111423,70100.0,,,
000157,881268,工程机械,7.61,7.58,1.58,598238,364421.0,,,
000158,881271,IT服务,12.73,12.63,-1.65,261751,115721.0,,,
000159,881279,光伏设备,5.27,5.28,-0.95,100077,36218.0,,,
000166,881157,证券,4.67,4.66,0.64,846319,447799.0,,,
000301,881180,石油加工贸易,11.97,11.99,-0.58,235577,121471.0,,,
000333,881131,白色家电,87.01,87.01,2.23,461498,276758.0,,,
000338,881126,汽车零部件,27.29,26.6,-4.87,1031806,485180.0,,,
000400,881278,电网设备,22.63,22.71,1.46,250010,140321.0,,,
000401,881115,建筑材料,3.64,3.63,0.55,73762,39347.0,,,
000402,881153,房地产,2.44,2.42,0.82,512882,244862.0,,,
000403,881142,生物制品,10.21,10.16,2.06,116411,62731.0,,,
000404,881131,白色家电,7.74,7.7,-0.78,148791,63605.0,,,
000407,881146,燃气,3.91,3.89,-0.26,134610,53585.0,,,
000408,881263,农化制品,79.6,80.0,0.25,109441,56157.0,,,
000409,881271,IT服务,8.54,8.5,-0.35,60944,28123.0,,,
000410,881117,通用设备,4.86,4.83,-0.62,161163,79577.0,,,
000411,881143,医药商业,9.4,9.36,0.64,34749,17786.0,,,
000415,881283,多元金融,4.43,4.4,-0.45,606528,284120.0,,,
000417,881158,零售,5.74,5.69,-1.74,507782,237781.0,,,
000419,881158,零售,4.8,4.76,0.83,79562,37567.0,,,
000420,881264,化学纤维,3.75,3.73,0.53,424086,220897.0,,,
000421,881165,综合,5.37,5.36,-0.19,66940,35119.0,,,
000422,881263,农化制品,13.12,13.0,0.08,255175,138154.0,,,
000423,881141,中药,53.8,53.8,2.68,113101,66416.0,,,
